YMD,PM2.5,PM10,sensor
2020-05-25T21:00:00Z,4.14593564613274,7.132516685857116,metone
2020-05-25T22:00:00Z,4.465633021140835,7.4883846242577,metone
2020-05-25T23:00:00Z,5.790796890456266,9.34872567434608,metone
2020-05-26T00:00:00Z,8.442841893008419,13.283286607818097,metone
2020-05-26T01:00:00Z,10.126069307306526,16.210975284899433,metone
2020-05-26T02:00:00Z,13.204727492609232,20.980210707272164,metone
2020-05-26T03:00:00Z,13.94778686636344,22.57581667852657,metone
2020-05-26T04:00:00Z,15.723966820757171,25.572008090902813,metone
2020-05-26T05:00:00Z,17.253397848689456,27.87976750430226,metone
2020-05-26T06:00:00Z,15.692462446868902,23.72460597643587,metone
2020-05-26T07:00:00Z,12.338262060512449,19.054922685788178,metone
2020-05-26T08:00:00Z,9.17796071919758,14.079901619327424,metone
2020-05-26T09:00:00Z,8.461760939650459,13.465144357438572,metone
2020-05-26T10:00:00Z,7.619124187743604,13.346678418855342,metone
2020-05-26T11:00:00Z,6.904409526583006,13.740111806112566,metone
2020-05-26T12:00:00Z,5.473663946153168,11.678945282256125,metone
2020-05-26T13:00:00Z,5.076804987210421,11.6475950842199,metone
2020-05-26T14:00:00Z,4.777204879462423,13.008910342904285,metone
2020-05-26T15:00:00Z,4.319240200968804,12.307059572472436,metone
2020-05-26T16:00:00Z,4.127256446672584,11.41488288353188,metone
2020-05-26T17:00:00Z,4.472073568987658,12.000990684104387,metone
2020-05-26T18:00:00Z,6.337381664902426,17.316694283493558,metone
2020-05-26T19:00:00Z,8.656894944796896,19.826777882751724,metone
2020-05-26T20:00:00Z,8.889247128129796,19.0089252580453,metone
2020-05-26T21:00:00Z,7.033592709398155,15.536117531296547,metone
2020-05-26T22:00:00Z,5.522153678378831,13.107962909332045,metone
2020-05-26T23:00:00Z,4.466983316606007,10.872858452508405,metone
2020-05-27T00:00:00Z,3.9338378911776783,9.022452390408446,metone
2020-05-27T01:00:00Z,3.828925163238398,8.576573939670347,metone
2020-05-27T02:00:00Z,3.8661098584285294,8.376568062265214,metone
2020-05-27T03:00:00Z,4.040729809235126,8.089351967295382,metone
2020-05-27T04:00:00Z,4.572061700153225,9.662646877913192,metone
2020-05-27T05:00:00Z,5.292519917296204,10.38207754882152,metone
2020-05-27T06:00:00Z,4.653567557521763,9.427339658616017,metone
2020-05-27T07:00:00Z,4.421580657965923,10.254376933975982,metone
2020-05-27T08:00:00Z,4.212701008989904,11.171737634610114,metone
2020-05-27T09:00:00Z,3.7947406096745047,10.9625694465477,metone
2020-05-27T10:00:00Z,4.000312398514739,10.60952433730224,metone
2020-05-27T11:00:00Z,3.8557208422338194,10.684839194409468,metone
2020-05-27T12:00:00Z,3.5282542385620608,11.32851447453554,metone
2020-05-27T13:00:00Z,3.22650461532319,10.859760240201096,metone
2020-05-27T14:00:00Z,3.370903520634111,11.580904342205866,metone
2020-05-27T15:00:00Z,3.1301424993537346,10.657722310472662,metone
2020-05-27T16:00:00Z,3.190687830933662,10.783133185493732,metone
